,Tweets
57,"So, all of the environmental gains made during #Trump admin will be undone to align with the #ParisClimateAgreement participants, like #China &amp; #France https://t.co/blCgdqnka5"
58,"US Formally Rejoins Paris Climate Agreement (Futurism)

After US president Joe Biden signed an executive order almost a month ago to move the United Stat...

Add your highlights:
https://t.co/h62T0CdtPW
 #environment"
59,"Today we celebrate the re-entry of the U.S. into the Paris Climate Agreement!   

https://t.co/EWWziJqhNz"
60,U.S. rejoins Paris climate agreement. Now comes the daunting part - The Biden administration seeks to show seriousness of purpose to meet its emissions-cutting commitments and restore the U.S.'s diminished standing on the world stage https://t.co/9Vca7JjWhW via @nbcnews
61,"Great news: US is back with Paris Climate Agreement. Wasting no time in engaging their international partners to build a global resilience. Things are moving forward 💚🌍
https://t.co/K4V6jdeeLV"
62,"""Mr Biden has promised to chart a path toward net-zero US emissions by 2050.""
US officially re-joins Paris climate agreement overturning Donald Trump's decision to exit:
https://t.co/9I8ZKIVRiE"
63,"@HershyMarton The objections to the Paris Climate Agreement are, in part, supportive of its end goal.  Example: Pakistan merely agrees that its GHG emissions will rise “to a point” then decline.  No specifics on what that point is, when it will be reached or the rate of the ensuing “decline”."
64,"@POTUS I would give a crap, but i dont have $2000 to do anything. And my student debt keeps piling up. So kinda dont care about the Paris Climate Agreement."
65,"@POTUS America entering the Paris Climate Agreement again like ""WHAT'S UP, BITCHES? I'M BAAA-AAACK!"" https://t.co/eoHtn74RHA"
66,US Formally Rejoins Paris Climate Agreement https://t.co/plhR12dmBZ https://t.co/Udz5ac9VVy
67,@PAntiquus @WhiteHouse Speaking for a lot more Texans than than you know. Most believe something drastic needs to happen about the impact of mad-made climate change. Paris Climate Agreement 👍🏼
68,America is back. #ParisClimateAgreement https://t.co/KeMXGeEcUc
69,Thrilled that the U.S. formally rejoined the Paris Climate Agreement today. I know from my work on the House Natural Resources Committee just how critical it is that we stand with our allies in the fight against climate change. Learn more here: https://t.co/0OkpnBpOyK.
70,"// all caps, swearing

STOPPPPPPPP SOMEONE SAID THE PARIS CLIMATE AGREEMENT WAS SENDING MONEY TO PARIS I- how FUCKING stupid are some people I SWEAR to god."
71,The United States’ short sojourn outside the Paris climate agreement is over. https://t.co/8sIjEHGJOC
72,"@NoahMatos4 @MR_HIPPIEZ @POTUS Noah its not facts. The Paris Climate agreement was signed in Pairs, by a lot of countries to help fight global climate change. Thats why its called that. Because it was signed in Paris. Like how The Treaty of Paris in 1783 was signed in PARIS to end the Revolutionary War."
73,"today was a good day 

#ParisClimateAgreement https://t.co/A2I0L5PoHI"
74,World Leaders Applaud America’s Formal Return To Paris Climate Agreement https://t.co/pY6mfajtsX
75,"U.S. Officially Rejoins Paris Climate Agreement - Scientific American
https://t.co/2qofLCZIZ1"
76,"U.S. Officially Rejoins Paris Climate Agreement - Scientific American
https://t.co/ZCJUjgx7SA"
77,I get leaving the Paris Climate Agreement was a demonstration of how little the previous administration cared about climate change but people are celebrating the reentering as if it’s a massive step forward to mitigating the effects of climate change- it’s the bare minimal https://t.co/IxSBPZ1kkD
78,Futurism: US Formally Rejoins Paris Climate Agreement https://t.co/S1hI5AIWx3
79,"@POTUS There is NOT a climate issue! The only reason you rejoined the Paris climate agreement is to squander the U.S. taxpayer's money!

Mark Levin's interview with Dr. Patrick Michaels - the truth about global warming!
https://t.co/5tWieLmHTj"
80,US Officially Rejoins Paris Climate Agreement https://t.co/Gm7DCEyti8
81,US Officially Rejoins Paris Climate Agreement https://t.co/j1z72Mds5Q
82,US returns to Paris climate agreement https://t.co/ehOIujVcVv
83,US Officially Rejoins Paris Climate Agreement https://t.co/EHWseq02x1
84,Excellent news! #ParisClimateAgreement https://t.co/jijHi2Sz86
85,"#US🇺🇸: makes official return to #ParisClimateAgreement 

#MotherEarth🌏: 🫂🙏🏽💚💙❤️ #ClimateAction

https://t.co/opOphkbANa"
86,IKR?!? She probably also understands what the Paris Climate Agreement is! 😱 https://t.co/ehggxX2OEN
87,USA is officially in #ParisClimateAgreement again! Thank you @JoeBiden #LeadershipMatters #LeadonClimate #ActOnClimate #ClimateStrike #ClimateActionNow @Fridays4future #Climate #COP26 @ExtinctionR @xrsfbay @sunrisemvmt @zerohourmvmt @XR_NYC @GretaThunberg @earthguardianz @XrYouth https://t.co/fBsPzwG7LG
88,"@POTUS @JoeBiden Joe Biden  in Texas people are suffering  who cares about The paris Climate Agreement . Once I told you , you are too old for this Job , you will have some problem with your Health and that will be a good news for AMERICA!..."
89,Yeahs! Now let’s get some proper changes in place. Why one might ask? Well because climate change is real. Stop living under a rock. #ParisClimateAgreement https://t.co/afklpZzRAM
90,"It will take a global effort to combat climate change. Now that we are on track to officially re-enter the Paris Climate Agreement, learn more about the commitments you can make as an investor: https://t.co/9efOSs6YTt"
91,"U.S. Officially Rejoins Paris Accord, Vowing to Make Up for Lost Time -- The Washington Post #ParisClimateAgreement #climatechange https://t.co/AyXHpwOZlx"
92,"@POTUS @JoeBiden There not a climate issue!! The only reason you rejoined the Paris climate agreement is to squander the US taxpayer's money!

Mark Levin's interview with Dr. Patrick Michaels - the truth about global warming!
https://t.co/5tWieL571L"
93,"Biden reenters Paris climate agreement, reversing Trump without Senate ratification https://t.co/8AP3XPxr1x #SmartNews"
94,Liz Wheeler: Why it was stupid to rejoin the Paris Climate Agreement - https://t.co/UR0wELczq1 https://t.co/F2emZMpoEg
95,"Great!! U.S. rejoins the Paris climate agreement as President Biden races to find ways to meet even more ambitious targets that scientists say are needed to avert the worst effects of global warming. #ParisClimateAgreement
https://t.co/HXoQVClCYe"
96,"Glad to hear the US is officially back in the #ParisClimateAgreement.

Immediate actions are required at all levels of government to combat the #ClimateCrisis, with the #ParisAgreement being key to motivating international cooperation and ambitious GHG reduction targets. https://t.co/IebMHoMVxu"
97,"So today it’s official. 
-The U.S. rejoined the Paris Climate Agreement.
-Pres. Biden met with the G7
-And Kim &amp; Kanye are getting divorced. 
Oh
And yesterday we landed on Mars. 

SO much to debate!!!"
98,👏🏽👏🏽👏🏽 #ParisClimateAgreement #ClimateAction https://t.co/DtDXfiDOPr
99,"As the USA 🇺🇸 rejoins the #ParisClimateAgreement 🥳, &amp; ahead of the Climate Security #UNSC debate next Tues, @adelphi_berlin @EIUPerspectives unpack why tackling #climatechange is vital to peace and what needs to be done.

Watch now 🔽  https://t.co/H4LkdSh6vR #WeatheringRisk https://t.co/g3JOq2SsM3"
100,🌎🌍🌏 We're back! #ParisClimateAgreement https://t.co/2jngTnoX20
101,Welcome Back? U.S. Officially Back to Paying for Other Countries' Emissions in Paris Climate Agreement | MRCTV https://t.co/RO2s0blZJZ
102,"Stopping building the Wall? RE-entering the job-killing Paris Climate agreement? Getting cozy with Iran? Cow-towing to China? Are you freaking kidding me? @JoeBiden is CRAZY if he thinks we want ANY of this. 
We desperately need #PresidentTrump back in the White House NOW!  2/2"
103,America rejoins Paris #Climate Agreement https://t.co/wNp0NxgZrn
104,"It’s official: The U.S. is back in the Paris climate agreement, 30 days after President Joe Biden ordered it on his first day in office. https://t.co/BZPHkR79MN https://t.co/y3SilpeceU"
105,"The U.S. officially rejoined the Paris climate agreement on Friday.

""Climate change and science diplomacy can never again be 'add-ons' in our foreign policy discussions,"" Secretary of State Antony Blinken said in a statement. https://t.co/Qe1an75YC3"
106,The media doesn’t bother to tell you that the Paris Climate Agreement only says China will “take a look” at things in 2030. And India isn’t being held accountable either. https://t.co/jxrubEXrnP
107,John Kerry Continues His Alarmism as Biden Reenters Paris Climate Agreement https://t.co/BtEURXfIJe
108,Thankful that America is back with Paris Climate agreement. https://t.co/7xq4XT92BP
109,FreedomWorks Statement in Response to the United States Officially Rejoining the Paris Climate Agreement https://t.co/8JukLQVuAR
110,"@POTUS Ya, lets get China &amp; India to clean up their air. Doe's no good if these rwo are mot held accountable!! This Paris Climate Agreement is a waist of tax payers $$$."
111,"Climate change is robbing us blind whether we realize it or not!

#ParisClimateAgreement #ClimateEmergency #ClimateCrisis
#FaceTheClimateEmergency #renewableenergy #cleanenergy https://t.co/dDJxQQSV0G"
112,Rejoining the Paris Climate Agreement is great news! BUT we need to #EndTheFilibuster to ensure the necessary bold legislation is enacted! #FilibusterFriday https://t.co/OImX1dY2jt
113,Terrific move re Paris Climate Agreement  And - address the biggest Climate Impact in UAS this season. - Please be way more active and public in helping Texans etc. More storms coming. Get ahead of it. That is where the leader of all Americans  must live. Ahead of it. https://t.co/hj9FBzKSoB
114,A positive sign in the right direction. #ParisClimateAgreement https://t.co/32tXASxlkS
115,"@Planetary_Sec With the many extreme weather events &amp; related effects it’s amazing people don’t see the enormous cost.They don’t realize costs are passed on in unseen ways-food,energy,transportation, insurance &amp; many others. Who do they think pays for it? 
#ParisClimateAgreement #ClimateChange"
116,@RepTedDeutch @POTUS Paris Climate Agreement:  the only decision required there is how many billions of dollars will USA give to rest of the world.   Climate Change is the biggest scam in history.
117,By rejoining the Paris Climate Agreement The USA will lose control of it’s sovereignty; we will have to abide by the EU’s decisions for our nation 🇺🇸. https://t.co/TLOZM7zlPz
118,"Thank you Mr. @POTUS. Yes, I’m ready to see actions and policies. Our country should be setting the example and supporting others to follow. If this week has shown us anything, it’s that #ClimateChange is here. We need to do better, now. ❤️🇺🇸#CricksPicks #ParisClimateAgreement https://t.co/hqQZniT5WD"
119,"Special presidential envoy @JohnKerry says the US rejoins the #ParisClimateAgreement with ""humility and ambition"" after  being absent from the table for four years: https://t.co/0Hq5AvysCV"
120,Biden Pushes America Back in Paris Climate Agreement - https://t.co/phNPnzKhIF via @Shareaholic
121,Green New Deal beside Paris Climate Agreement sounds just right😊
122,"The United States has officially rejoined the Paris Climate Agreement.

The time for bold, collective action on the climate crisis is now. https://t.co/92Xtj5M2Rj"
123,"Happy Paris Climate Agreement Day, take two! https://t.co/d4d14UXXqB"
124,"The Paris Climate Agreement will penalize American’s ability to compete in the Global Market, destroying millions of high paying American jobs; USA’s emissions are well below the goals set by the Paris Agreement, there is absolutely no reason to rejoin. https://t.co/TLOZM7zlPz"
125,"USA is back in the #ParisClimateAgreement 
Thank you @POTUS https://t.co/xQyKQJWfZw"
126,"Paris Climate Agreement ='s expensive, &amp; actually does nothing for the environment! https://t.co/eITkwMKyja"
127,"All today: 

- US formally reentered the Paris Climate Agreement
- @POTUS Biden met with G7 partners
- @POTUS spoke at the Munich Security Conference: 

""America is back, the transatlantic alliance is back, and we are not looking backward. We are looking forward together"" https://t.co/JiMVqOOmuX"
128,The US has officially rejoined the Paris climate agreement. Here's what that means https://t.co/DyTKGyR14U
129,"US officially re-joins Paris climate agreement overturning Donald Trump's decision to exit
https://t.co/oWivLM1AyF"
130,U.S. back in Paris climate agreement https://t.co/Nd91k8yodB via @pensionsnews
131,"Today America rejoins the Paris climate agreement, but it is only the first step towards ambitious American policy. The risks of inaction are painfully clear. My cover leader: https://t.co/GfswpVQpah https://t.co/XEjlaPTfMd"
132,@POTUS It was unreal the USA was not participating in the Paris Climate Agreement. Some people in government haven't done their homework and believe this is about Paris an not about America (first). Who will teach them? https://t.co/pdKiYbpV1N
133,The U.S. Rejoins the Paris Climate Agreement - see C-SPAN’s Word for Word: https://t.co/AbcL2vSfFq
134,"On January 20th, @POTUS signed an executive order to have the United States of America rejoin the Paris Climate Agreement. The 30 day window has passed. We are part of the Paris Climate Agreement again starting today.

Let’s continue helping out Texas."
135,"@POTUS Screw that, #CrazyUncleJoe!!! #America shouldn’t do SQUAT until #China &amp; #India are EQUAL/BETTER than our environmental standards!! Until then, it’s a waste on time; money; &amp; effort...and frankly, a farce!!

#ParisClimateAgreement .@JoeBiden .@POTUS #EnergyIndependence"
136,"Rejoining Paris was easy. Here's where the climate fight gets awkward.: Friday's ceremony reverses Trump's most symbolic climate action, which made the U.S. the only country in the world to pull itself out of the 2015 Paris Climate Agreement. UPDATES 24/7: @news247tweets"
137,"Heel fijn. Nu nog de grote energie bedrijven een tijdje van de tafel en uit de achterkamertjes houden en dan komen we ergens.

#energietransitie #ParisClimateAgreement https://t.co/TQv2MoyeSu"
138,"ABD, Paris iklim anlaşmasının tekrar tarafı oldu...#ParisClimateAgreement @POTUS #environment https://t.co/Hpi43wUuNV"
139,@SenJeffMerkley Indeed! And before the trolls get here: No the Paris Climate Agreement doesn’t kill jobs. https://t.co/uG27FFNq1P
140,"On the day that @POTUS brought us back into the #ParisClimateAgreement, I am honored to say that my bill HB1902 banning styrofoam takeout containers in VA passed the senate.  

It is our responsibility now to leave a better planet for our children.  🌎 https://t.co/V94Ly20892"
141,"Join @MarchForScience tonight in their celebration of the U.S. rejoining the Paris Climate Agreement! PVBLIC Exec Chairman @sfdecordova will participate in a conversation with William Kennedy from @UN_Partnerships 

Watch #LIVE at 6:30 EST 👉 https://t.co/PWENN8xD0P https://t.co/5Eh9ZiU3WZ"
142,Welcome Back? U.S. Officially Back to Paying for Other Countries' Emissions in Paris Climate Agreement https://t.co/dCEaHasF7h / Another financial gift to China by Biden.  China gets $$$ but is still opening coal plants at a rapid rate.
143,"“Re-signing the Paris Climate Agreement is little more than a political stunt by President Biden to placate the progressive left, but it signals that the worst is yet to come for American energy independence.” https://t.co/LCaTqnCsQX"
144,"ECOLOGICAL DEVASTATION: 1 of the 5 interlocking injustices and evils that the #PoorPeoplesCampaign challenges + fights back against!

#ClimateChange #ClimateChangeIsReal #SaveOurPlanet #ThereIsNoPlanetB #ParisClimateAgreement #EverybodysGotARightToLive https://t.co/2OuwyOVftC"
145,"@RepAnnieKuster Yes it is! 

And before the trolls get here: No, the Paris Climate Agreement doesn’t kill jobs. https://t.co/uG27FFNq1P"
146,"The United States has officially rejoined the Paris climate agreement, reinvigorating the global fight against climate change as the Biden administration plans drastic emissions cuts over the next three decades. https://t.co/JLmBnqAhBl"
147,"Our CEO's latest article on President Biden's Plan for a Clean Energy Revolution: https://t.co/j51p7TjCLd

$SNPW #energy #ParisClimateAgreement #renewableenergy #cleanenergy #greenenergy #linkedin"
148,"We must take immediate, coordinated action to prevent the worst effects of climate change.

The U.S. rejoining the Paris Climate Agreement is a concrete step toward that goal.
https://t.co/IHLdROJn4s"
149,"Texas is learning that the devastation wrought by climate change is not a thing of the future—but of here and now. Today the U.S. rejoined the Paris Climate Agreement, re-engaging with the world to fight this crisis. Let’s get to work to create millions of clean energy jobs! https://t.co/T9BmcyinHs"
150,FreedomWorks Statement in Response to the United States Officially Rejoining the #Paris Climate Agreement #ampFW ➡️ https://t.co/UVpQJAABgy https://t.co/C7PJ9THGNY
151,"United States 🇺🇲 rejoined the Paris climate agreement. Biden promised it, he did it. ✅ 

America is back. 

#BidenPresident @POTUS"
152,"""This is a global existential crisis,"" President Biden said. “We can no longer delay or do the bare minimum to address climate change."" Today, the U.S. formally reentered the #ParisClimateAgreement (cue the applause👏👏). Hear more from @JoshNBCNews: https://t.co/YAZFCkaR8M"
153,#ParisClimateAgreement https://t.co/5rdupj0O1P
154,"3417 days

The US officially rejoined the Paris Climate Agreement today. Current pledges from all major polluters are still far, far too little, too late, and action is almost nonexistent. Everything must change at #COP26

#ClimateJustice #MAPA 

https://t.co/YSBI9Obha3 https://t.co/bit4FScNAE"
155,"@AIIAmericanGirI @townhallcom If Biden Administration has officially had the US rejoin the Paris Climate Agreement he should TODAY release a statement that says exactly what the AMERICAN people (not the world) will gain from this accord and when.
Then we have something to watch and see if he was truthful."
156,U.S. Officially Rejoins Paris Climate Agreement https://t.co/casRHifcDi
157,"President Biden’s decision to unilaterally rejoin the Paris Climate Agreement on behalf of the U.S. is a disservice to the American people &amp; step backward for our long-term energy security. 

My full statement ➡️ https://t.co/VdKx2sUodF"
158,".@adam_brandon: ""Re-signing the Paris Climate Agreement is little more than a political stunt by President Biden to placate the progressive left, but it signals that the worst is yet to come for American energy independence."" #ampFW"
159,Today the US has officially rejoined the Paris Climate Agreement! CSULB signed along side hundreds of these partners to reaffirm this commitment &amp; pledge to partner with the Biden-Harris Administration to combat the climate crisis…https://t.co/4PwprlZGfj https://t.co/opnLhsiaBR
160,"@thehill And our President is awesome, this is really good news on The Paris Climate Agreement. Our environment is in trouble and if we don’t act now our planet will continue to deteriorate"
161,@WhiteHouse We need the Green New Deal. The Paris Climate agreement does not go nearly far enough.
162,U.S. Officially Rejoins Paris Climate Agreement https://t.co/mkTh2nMSth
163,"The US has officially returned to the Paris climate agreement 107 days after it left
https://t.co/ZdCsQIIfKO"
164,Historic news to see that the US is officially re-joining the Paris Climate Agreement. This is a necessary step in ensuring that we fight against climate change. https://t.co/Bfo12pcibo #BidenClean100 #ClimateChange #ParisClimateAgreement
165,"The USA is back in the Paris Climate Agreement. 🇺🇸 🌏🌍🌎

Never forget: “We know what’s happening and we know what needs to be done.”"
166,U.S. Officially Rejoins Paris Climate Agreement https://t.co/LrfNrzPUUz #science #technology https://t.co/0rXPPojJd0
167,"The U.S. on Friday officially re-entered the Paris Climate Agreement, nearly one month after U.S. President Joe Biden took office and immediately pledged to re-enter the deal.

“Now, as momentous as our joining the Agreement was in 2016 and as momentous

https://t.co/UkuzVHPMt0 https://t.co/Nyl4Sct6iX"
168,"It’s called the Paris Climate Agreement because it was drafted and signed in, you guessed it, Paris. Not because it’s about Paris.

Also, *you’re.

Uneducated fuck. https://t.co/YJTwIwFUjn"
169,@POTUS Thanks Joe. First you lay off thousands of workers and now you go back to financing the Paris Climate Agreement.
170,"@diamondgirl2018 @thisdudeisvegan @MR_HIPPIEZ @POTUS no, the other countries DO. Recently, the UK made the first court ruling against an airport runway because it would've violated the Paris Climate Agreement."
171,Rejoining the Paris Climate Agreement is yet another regressive decision from the Biden Administration. #AmericaLast https://t.co/V0ztpYnbIT
172,"Getting the latest CBSN news from @TanyaRivero on a #HappyFriday🎉🙌😊, @nancycordes at an snowy W.H.❄️ on COVID &amp; @benstracy as the U.S. returns to the Paris Climate Agreement🌎 as promised by Pres. Biden on Day 1 which he was at an @pfizer vaccine facility in Michigan. @CBSNews https://t.co/KQyQHkeV4u"
173,RT @GeoffRBennett: World leaders applaud US formal return to Paris climate agreement https://t.co/VKo01nbYLE
174,"@RepJasonCrow I hope You don't make a political MOVE about PARIS CLIMATE AGREEMENT CHANGE ... sounds wonderful PARIS, but TEXANS ARE HERE...and Now"
175,The US officially rejoins #ParisClimateAgreement. This is why it's significant for the Fashion industry #climatechange #ParisAgreement https://t.co/f1DCPqWW84 https://t.co/VFWDgovej2
176,"The warning from Kerry comes as the U.S. officially rejoined the Paris climate agreement Friday, but the Biden administration official stressed that just rejoining isn’t enough. 

""We know that just doing Paris is not enough,” Kerry said during the launch event for a new climate https://t.co/HePsZjL0UL"
177,"He noted that the formal US return to the Paris climate agreement took place on Friday, and that the previous day, the US had announced its readiness to re-enter multilateral nuclear talks with Iran, hosted by the EU. Both moves reversed Trump policies."
178,#ParisClimateAgreement #ClimateAction  #ClimateJustice https://t.co/eQlMnHfvSz
179,@POTUS Finally a president that understands the importance of the Paris climate Agreement
180,"Today, US is officially back in Paris Climate Agreement. 👍

Good news: “U.S. is still on track to meet its NDC goal, due in large part to COVID-19.” But COVID-19 pollution-damping effect won’t last forever. https://t.co/NtLLo4Kw9g

So Biden has a plan: https://t.co/DujKYWANhS https://t.co/g0B60Lw2Up"
181,"Together to save the planet 💪🏻🌍
#ParisClimateAgreement https://t.co/UESRtOEtiq"
